fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,quality
6.7,0.25,0.13,1.2,0.040999999999999995,81.0,5
6.7,0.23,0.31,2.1,0.046,30.0,8
7.4,0.24,0.29,10.1,0.05,21.0,5
6.2,0.27,0.43,7.8,0.055999999999999994,48.0,6
6.8,0.3,0.23,4.6,0.061,50.5,5
6.0,0.27,0.28,4.8,0.063,31.0,5
8.6,0.23,0.46,1.0,0.054000000000000006,9.0,6
6.7,0.23,0.31,2.1,0.046,30.0,8
7.4,0.24,0.29,10.1,0.05,21.0,5
7.1,0.18,0.36,1.4,0.043,31.0,7
7.0,0.32,0.34,1.3,0.042,20.0,7
7.4,0.18,0.3,8.8,0.064,26.0,5
6.7,0.54,0.28,5.4,0.06,21.0,5
6.8,0.22,0.31,1.4,0.053,34.0,6
7.1,0.2,0.34,16.0,0.05,51.0,6
7.1,0.34,0.2,6.1,0.063,47.0,5
7.3,0.22,0.3,8.2,0.047,42.0,6
7.1,0.43,0.61,11.8,0.045,54.0,5
7.1,0.44,0.62,11.8,0.044000000000000004,52.0,6
7.2,0.39,0.63,11.0,0.044000000000000004,55.0,6
6.8,0.25,0.31,13.3,0.05,69.0,6
7.1,0.43,0.61,11.8,0.045,54.0,5
7.1,0.44,0.62,11.8,0.044000000000000004,52.0,6
7.2,0.39,0.63,11.0,0.044000000000000004,55.0,6
6.1,0.27,0.43,7.5,0.049,65.0,5
6.9,0.24,0.33,1.7,0.035,47.0,7
6.9,0.21,0.33,1.8,0.034,48.0,7
7.5,0.17,0.32,1.7,0.04,51.0,7
7.1,0.26,0.29,12.4,0.044000000000000004,62.0,6
6.0,0.34,0.66,15.9,0.046,26.0,6
8.6,0.265,0.36,1.2,0.034,15.0,7
9.2,0.36,0.46,10.5,0.038,7.0,4
6.0,0.34,0.66,15.9,0.046,26.0,6
7.4,0.25,0.37,13.5,0.06,52.0,5
7.1,0.13,0.32,9.6,0.054000000000000006,64.0,5
6.0,0.21,0.24,12.1,0.05,55.0,5
7.5,0.305,0.4,18.8,0.059000000000000004,44.0,5
7.4,0.25,0.37,13.5,0.06,52.0,5
7.3,0.13,0.32,14.4,0.051,34.0,6
7.1,0.13,0.32,9.6,0.054000000000000006,64.0,5
7.1,0.23,0.35,16.5,0.04,60.0,6
7.1,0.23,0.35,16.5,0.04,60.0,6
6.9,0.33,0.28,1.3,0.051,37.0,5
6.5,0.17,0.54,8.5,0.08199999999999999,64.0,6
7.2,0.27,0.46,18.75,0.052000000000000005,45.0,5
7.2,0.31,0.5,13.3,0.055999999999999994,68.0,5
6.7,0.41,0.34,9.2,0.049,29.0,5
6.7,0.41,0.34,9.2,0.049,29.0,5
5.5,0.485,0.1,1.5,0.065,8.0,4
6.0,0.31,0.24,3.3,0.040999999999999995,25.0,6
7.0,0.14,0.4,1.7,0.035,16.0,6
7.2,0.31,0.5,13.3,0.055999999999999994,68.0,5
7.3,0.32,0.48,13.3,0.06,57.0,5
5.9,0.36,0.1,5.7,0.046,21.0,5
7.8,0.24,0.32,12.2,0.054000000000000006,42.0,5
7.4,0.16,0.31,6.85,0.059000000000000004,31.0,5
6.9,0.19,0.28,5.0,0.057999999999999996,14.0,6
6.4,0.13,0.47,1.6,0.092,40.0,6
6.7,0.19,0.36,1.1,0.026000000000000002,63.0,6
7.4,0.39,0.23,7.0,0.033,29.0,5
6.5,0.24,0.32,7.6,0.038,48.0,7
6.1,0.3,0.56,2.8,0.044000000000000004,47.0,7
6.1,0.3,0.56,2.7,0.046,46.0,6
5.7,0.26,0.25,10.4,0.023,7.0,5
6.5,0.24,0.32,7.6,0.038,48.0,7
6.5,0.425,0.4,13.1,0.038,59.0,5
6.6,0.24,0.27,15.8,0.035,46.0,5
6.8,0.27,0.22,8.1,0.034,55.0,5
6.7,0.27,0.31,15.7,0.036000000000000004,44.0,5
8.2,0.23,0.4,1.2,0.027000000000000003,36.0,6
7.1,0.37,0.67,10.5,0.045,49.0,5
6.8,0.19,0.36,1.9,0.035,30.0,7
8.1,0.28,0.39,1.9,0.028999999999999998,18.0,6
6.3,0.31,0.34,2.2,0.045,20.0,5
7.1,0.37,0.67,10.5,0.045,49.0,5
7.9,0.21,0.4,1.2,0.039,38.0,6
8.5,0.21,0.41,4.3,0.036000000000000004,24.0,6
8.1,0.2,0.4,2.0,0.037000000000000005,19.0,6
6.3,0.255,0.37,1.1,0.04,37.0,6
5.6,0.16,0.27,1.4,0.044000000000000004,53.0,6
6.4,0.595,0.14,5.2,0.057999999999999996,15.0,4
6.3,0.34,0.33,4.6,0.034,19.0,7
6.9,0.25,0.3,4.1,0.054000000000000006,23.0,6
7.9,0.22,0.38,8.0,0.043,46.0,7
7.6,0.18,0.46,10.2,0.055,58.0,6
6.9,0.25,0.3,4.1,0.054000000000000006,23.0,6
7.2,0.18,0.41,1.2,0.048,41.0,5
8.2,0.23,0.4,7.5,0.049,12.0,6
7.4,0.24,0.42,14.0,0.066,48.0,6
7.4,0.24,0.42,14.0,0.066,48.0,6
6.1,0.32,0.24,1.5,0.036000000000000004,38.0,7
5.2,0.44,0.1,1.4,0.036000000000000004,43.0,8
5.2,0.44,0.1,1.4,0.036000000000000004,43.0,8
6.1,0.32,0.24,1.5,0.036000000000000004,38.0,7
6.4,0.22,0.56,14.5,0.055,27.0,5
6.3,0.36,0.3,4.8,0.049,14.0,5
7.4,0.24,0.42,14.0,0.066,48.0,6
6.7,0.24,0.35,13.1,0.05,64.0,5
7.0,0.23,0.36,13.0,0.051,72.0,5
8.4,0.27,0.46,8.7,0.048,39.0,6
6.7,0.46,0.18,2.4,0.034,25.0,7
7.5,0.29,0.31,8.95,0.055,20.0,5
9.2,0.42,0.48,9.85,0.034,7.0,5
7.1,0.3,0.46,1.5,0.066,29.0,6
7.9,0.19,0.45,1.5,0.045,17.0,6
7.6,0.48,0.37,1.0,0.037000000000000005,7.0,4
6.3,0.22,0.43,4.55,0.038,31.0,7
7.5,0.27,0.31,17.7,0.051,33.0,5
6.9,0.23,0.4,7.5,0.04,50.0,6
7.2,0.32,0.47,5.1,0.044000000000000004,19.0,4
5.9,0.23,0.3,12.9,0.054000000000000006,57.0,5
6.0,0.63,0.1,1.2,0.06,9.0,4
6.4,0.25,0.32,5.5,0.049,41.0,6
6.4,0.33,0.31,5.5,0.048,42.0,6
7.1,0.34,0.15,1.2,0.053,61.0,5
6.8,0.28,0.4,18.8,0.048,48.0,5
6.9,0.27,0.4,14.0,0.05,64.0,6
6.8,0.26,0.56,11.9,0.043,64.0,5
6.8,0.29,0.56,11.9,0.043,66.0,5
6.7,0.24,0.41,9.4,0.04,49.0,6
5.9,0.3,0.23,4.2,0.038,42.0,5
6.8,0.53,0.35,3.8,0.034,26.0,8
6.5,0.28,0.28,8.5,0.047,54.0,4
6.6,0.28,0.28,8.5,0.052000000000000005,55.0,6
6.8,0.28,0.4,18.8,0.048,48.0,5
6.8,0.28,0.36,8.0,0.045,28.0,6
6.6,0.15,0.34,5.1,0.055,34.0,5
6.4,0.29,0.44,3.6,0.16,75.0,5
6.4,0.3,0.45,3.5,0.16,76.0,6
6.4,0.29,0.44,3.6,0.16,75.0,5
6.8,0.26,0.24,7.8,0.052000000000000005,54.0,5
7.1,0.32,0.24,13.1,0.05,52.0,5
6.8,0.26,0.24,7.8,0.052000000000000005,54.0,5
6.8,0.27,0.26,16.1,0.049,55.0,5
7.1,0.32,0.24,13.1,0.05,52.0,5
6.9,0.54,0.32,13.2,0.05,53.0,5
6.8,0.26,0.34,13.9,0.034,39.0,6
5.8,0.28,0.35,2.3,0.053,36.0,4
6.4,0.21,0.5,11.6,0.042,45.0,5
7.0,0.16,0.32,8.3,0.045,38.0,5
9.2,0.44,0.74,6.2,0.049,20.0,4
6.8,0.57,0.29,2.2,0.04,15.0,5
6.1,0.4,0.31,1.0,0.048,23.0,6
5.6,0.245,0.25,9.7,0.032,12.0,5
6.8,0.18,0.38,1.4,0.038,35.0,7
7.0,0.16,0.32,8.3,0.045,38.0,5
6.7,0.13,0.29,5.3,0.051,31.0,6
6.2,0.25,0.25,1.4,0.03,35.0,7
5.8,0.26,0.24,9.2,0.044000000000000004,55.0,5
7.5,0.27,0.36,7.0,0.036000000000000004,45.0,5
5.8,0.26,0.24,9.2,0.044000000000000004,55.0,5
5.7,0.28,0.24,17.5,0.044000000000000004,60.0,5
7.5,0.23,0.36,7.0,0.036000000000000004,43.0,5
7.5,0.27,0.36,7.0,0.036000000000000004,45.0,5
7.2,0.63,0.21,9.5,0.07,33.0,6
6.2,0.25,0.25,1.4,0.03,35.0,7
6.5,0.19,0.3,1.0,0.043,33.0,6
6.3,0.495,0.22,1.8,0.046,31.0,6
7.1,0.24,0.41,17.8,0.046,39.0,5
6.4,0.17,0.32,2.4,0.048,41.0,6
7.1,0.25,0.32,10.3,0.040999999999999995,66.0,6
6.4,0.17,0.32,2.4,0.048,41.0,6
7.1,0.24,0.41,17.8,0.046,39.0,5
6.8,0.63,0.1,9.7,0.062,26.0,4
8.3,0.28,0.4,7.8,0.040999999999999995,38.0,6
8.2,0.27,0.39,7.8,0.039,49.0,6
7.2,0.23,0.38,14.3,0.057999999999999996,55.0,6
7.2,0.23,0.38,14.3,0.057999999999999996,55.0,6
7.2,0.23,0.38,14.3,0.057999999999999996,55.0,6
7.2,0.23,0.38,14.3,0.057999999999999996,55.0,6
6.8,0.52,0.32,13.2,0.044000000000000004,54.0,6
7.0,0.26,0.59,1.4,0.037000000000000005,40.0,7
6.2,0.25,0.21,15.55,0.039,28.0,6
7.3,0.32,0.23,13.7,0.05,49.0,5
7.7,0.31,0.26,7.8,0.031,23.0,5
7.1,0.21,0.37,2.4,0.026000000000000002,23.0,7
6.8,0.24,0.34,2.7,0.047,64.5,6
6.9,0.4,0.56,11.2,0.043,40.0,5
6.1,0.18,0.36,2.0,0.038,20.0,6
6.8,0.21,0.27,2.1,0.03,26.0,7
5.8,0.2,0.27,1.4,0.031,12.0,7
5.6,0.19,0.26,1.4,0.03,12.0,7
6.1,0.41,0.14,10.4,0.037000000000000005,18.0,5
5.9,0.21,0.28,4.6,0.053,40.0,4
8.5,0.26,0.21,16.2,0.07400000000000001,41.0,4
6.9,0.4,0.56,11.2,0.043,40.0,5
5.8,0.24,0.44,3.5,0.028999999999999998,7.0,4
5.8,0.24,0.39,1.5,0.054000000000000006,37.0,6
6.7,0.26,0.39,1.1,0.04,45.0,8
6.3,0.35,0.3,5.7,0.035,8.0,7
6.3,0.35,0.3,5.7,0.035,8.0,7
6.4,0.23,0.39,1.8,0.032,23.0,6
5.8,0.36,0.38,1.0,0.037000000000000005,7.0,4
6.9,0.13,0.35,5.4,0.048,36.0,6
6.9,0.29,0.4,18.8,0.043,36.0,5
6.9,0.28,0.4,8.2,0.036000000000000004,15.0,5
7.2,0.29,0.4,13.6,0.045,66.0,6
6.2,0.24,0.35,1.2,0.038,22.0,6
6.9,0.29,0.4,18.8,0.043,36.0,5
6.9,0.32,0.26,8.3,0.053,32.0,6
5.3,0.58,0.1,6.9,0.043,34.0,5
5.3,0.585,0.1,7.1,0.044000000000000004,34.0,6
5.4,0.59,0.1,7.0,0.045,36.0,6
6.9,0.32,0.26,8.3,0.053,32.0,6
5.2,0.6,0.1,7.0,0.044000000000000004,33.0,5
5.8,0.25,0.26,13.1,0.051,44.0,5
6.6,0.58,0.3,5.1,0.057,30.0,5
7.0,0.29,0.54,10.7,0.046,59.0,5
6.6,0.19,0.41,8.9,0.046,51.0,6
6.7,0.2,0.41,9.1,0.044000000000000004,50.0,6
7.7,0.26,0.4,1.1,0.042,9.0,5
6.8,0.32,0.34,1.2,0.044000000000000004,14.0,4
7.0,0.3,0.49,4.7,0.036000000000000004,17.0,7
7.0,0.24,0.36,2.8,0.034,22.0,8
6.1,0.31,0.58,5.0,0.039,36.0,8
6.8,0.44,0.37,5.1,0.047,46.0,4
6.7,0.34,0.3,15.6,0.054000000000000006,51.0,5
7.1,0.35,0.24,15.4,0.055,46.0,5
7.3,0.32,0.25,7.2,0.055999999999999994,47.0,5
6.5,0.28,0.33,15.7,0.053,51.0,6
7.2,0.23,0.39,14.2,0.057999999999999996,49.0,7
7.2,0.23,0.39,14.2,0.057999999999999996,49.0,7
7.2,0.23,0.39,14.2,0.057999999999999996,49.0,7
7.2,0.23,0.39,14.2,0.057999999999999996,49.0,7
5.9,0.15,0.31,5.8,0.040999999999999995,53.0,6
7.4,0.28,0.42,18.8,0.066,53.0,5
6.2,0.28,0.22,7.3,0.040999999999999995,26.0,7
9.1,0.59,0.38,1.6,0.066,34.0,4
6.3,0.33,0.27,1.2,0.046,34.0,6
8.3,0.39,0.7,10.6,0.045,33.0,5
7.2,0.19,0.46,3.8,0.040999999999999995,81.0,7
7.5,0.17,0.44,11.3,0.046,65.0,6
6.7,0.17,0.5,2.1,0.043,27.0,6
6.1,0.41,0.1,1.6,0.063,36.0,6
8.3,0.2,0.35,1.0,0.05,12.0,6
6.1,0.41,0.1,1.6,0.063,36.0,6
6.0,0.29,0.21,1.3,0.055,42.0,6
7.3,0.41,0.24,6.8,0.057,41.0,6
7.3,0.41,0.24,6.8,0.057,41.0,6
7.2,0.43,0.24,6.7,0.057999999999999996,40.0,5
7.3,0.4,0.24,6.7,0.057999999999999996,41.0,6
6.2,0.33,0.27,4.9,0.036000000000000004,30.0,7
6.2,0.31,0.26,4.8,0.037000000000000005,36.0,6
6.1,0.36,0.27,2.1,0.035,16.0,7
5.2,0.55,0.14,8.3,0.032,35.0,8
7.8,0.25,0.41,3.7,0.042,37.0,6
5.7,0.36,0.21,6.7,0.038,51.0,6
5.8,0.34,0.21,6.6,0.04,50.0,5
6.8,0.28,0.6,1.1,0.132,42.0,6
6.8,0.25,0.34,4.7,0.031,34.0,6
6.6,0.24,0.35,7.7,0.031,36.0,5
5.9,0.3,0.47,7.85,0.03,19.0,7
6.1,0.13,0.25,3.3,0.04,10.0,6
6.0,0.13,0.24,1.1,0.040999999999999995,15.0,7
6.6,0.24,0.35,7.7,0.031,36.0,5
6.8,0.25,0.34,4.7,0.031,34.0,6
6.8,0.28,0.44,9.3,0.031,35.0,6
8.3,0.41,0.51,2.0,0.046,11.0,5
7.5,0.27,0.31,5.8,0.057,81.0,5
7.9,0.26,0.41,15.15,0.04,38.0,6
6.4,0.34,0.23,6.3,0.039,37.0,6
6.5,0.28,0.35,15.4,0.042,55.0,6
7.2,0.21,0.41,1.3,0.036000000000000004,33.0,5
6.4,0.32,0.35,4.8,0.03,34.0,8
6.8,0.24,0.34,4.6,0.032,37.0,5
6.3,0.23,0.3,1.8,0.033,16.0,6
6.5,0.28,0.34,9.9,0.038,30.0,5
5.6,0.26,0.26,5.7,0.031,12.0,5
6.3,0.23,0.3,1.8,0.033,16.0,6
6.3,0.23,0.33,1.5,0.036000000000000004,15.0,6
5.8,0.27,0.27,12.3,0.045,55.0,6
5.9,0.26,0.4,1.3,0.047,12.0,5
6.6,0.18,0.35,1.5,0.049,49.0,7
7.4,0.2,0.43,7.8,0.045,27.0,7
8.0,0.24,0.36,1.5,0.047,17.0,6
6.4,0.26,0.42,9.7,0.044000000000000004,30.0,6
5.4,0.31,0.47,3.0,0.053,46.0,5
5.4,0.29,0.47,3.0,0.052000000000000005,47.0,6
7.1,0.145,0.33,4.6,0.05,33.0,6
5.6,0.34,0.1,1.3,0.031,20.0,7
6.7,0.19,0.41,15.6,0.055999999999999994,75.0,6
7.8,0.18,0.46,13.6,0.052000000000000005,38.0,6
7.6,0.17,0.45,11.2,0.054000000000000006,56.0,5
6.3,0.13,0.36,2.1,0.044000000000000004,47.0,7
7.3,0.33,0.4,6.85,0.038,32.0,7
5.5,0.335,0.3,2.5,0.071,27.0,6
7.3,0.33,0.4,6.85,0.038,32.0,7
5.8,0.4,0.42,4.4,0.047,38.5,6
7.3,0.22,0.37,14.3,0.063,48.0,6
7.3,0.22,0.37,14.3,0.063,48.0,6
6.1,0.36,0.33,1.1,0.05,24.0,6
9.2,0.2,0.39,1.4,0.05,19.0,6
6.9,0.24,0.34,4.7,0.04,43.0,6
6.4,0.24,0.32,14.9,0.047,54.0,6
7.1,0.365,0.14,1.2,0.055,24.0,5
6.8,0.15,0.3,5.3,0.05,40.0,6
7.3,0.22,0.37,14.3,0.063,48.0,6
6.8,0.16,0.4,2.3,0.037000000000000005,18.0,7
6.0,0.26,0.32,3.5,0.027999999999999997,29.0,7
6.0,0.18,0.27,1.5,0.08900000000000001,40.0,6
6.9,0.33,0.21,1.0,0.053,39.0,6
7.7,0.29,0.48,2.3,0.049,36.0,6
7.1,0.39,0.35,12.5,0.044000000000000004,26.0,5
6.9,0.33,0.21,1.0,0.053,39.0,6
7.7,0.29,0.48,2.3,0.049,36.0,6
6.6,0.63,0.19,1.0,0.048,17.0,5
7.2,0.27,0.27,2.4,0.048,30.0,6
5.2,0.33,0.22,1.6,0.027000000000000003,18.0,7
5.2,0.33,0.22,1.6,0.027000000000000003,18.0,7
6.4,0.31,0.28,1.5,0.037000000000000005,12.0,7
7.3,0.2,0.44,1.4,0.045,21.0,7
5.7,0.32,0.5,2.6,0.049,17.0,6
6.4,0.31,0.28,1.5,0.037000000000000005,12.0,7
7.3,0.2,0.44,1.4,0.045,21.0,7
7.2,0.28,0.26,12.5,0.046,48.0,6
7.5,0.35,0.28,9.6,0.051,26.0,6
7.2,0.27,0.27,2.4,0.048,30.0,6
6.0,0.36,0.39,3.2,0.027000000000000003,20.0,7
5.2,0.33,0.22,1.6,0.027000000000000003,18.0,7
5.2,0.17,0.56,1.5,0.026000000000000002,24.0,7
6.3,0.39,0.35,5.9,0.04,81.0,5
6.7,0.21,0.32,5.4,0.047,29.0,6
7.0,0.3,0.38,14.9,0.032,60.0,7
7.0,0.3,0.38,14.9,0.032,60.0,7
6.5,0.36,0.32,1.1,0.031,13.0,5
6.1,0.55,0.15,9.8,0.031,19.0,6
7.3,0.24,0.43,2.0,0.023,20.0,6
6.8,0.37,0.51,11.8,0.044000000000000004,62.0,5
6.8,0.27,0.12,1.3,0.04,81.0,5
8.2,0.28,0.42,1.8,0.031,30.0,5
6.3,0.2,0.4,1.5,0.037000000000000005,35.0,6
5.9,0.26,0.27,18.2,0.048,52.0,5
6.4,0.19,0.42,2.9,0.032,32.0,6
6.3,0.2,0.4,1.5,0.037000000000000005,35.0,6
6.8,0.37,0.51,11.8,0.044000000000000004,62.0,5
6.1,0.35,0.1,1.4,0.069,22.0,5
7.1,0.27,0.31,18.2,0.046,55.0,5
6.8,0.22,0.31,6.3,0.035,33.0,6
6.8,0.27,0.12,1.3,0.04,81.0,5
5.8,0.28,0.34,4.0,0.031,40.0,7
6.9,0.49,0.24,1.2,0.049,13.0,5
6.3,0.14,0.39,1.2,0.044000000000000004,26.0,6
8.2,0.28,0.42,1.8,0.031,30.0,5
7.2,0.25,0.39,18.8,0.038,42.0,6
7.3,0.28,0.36,12.7,0.04,38.0,6
7.2,0.19,0.39,1.2,0.036000000000000004,32.0,5
7.2,0.19,0.39,1.2,0.036000000000000004,32.0,5
7.2,0.25,0.39,18.8,0.038,42.0,6
7.3,0.28,0.36,12.7,0.04,38.0,6
7.4,0.21,0.27,1.2,0.040999999999999995,27.0,6
6.8,0.26,0.22,7.7,0.047,57.0,5
7.4,0.21,0.27,1.2,0.040999999999999995,27.0,6
7.4,0.31,0.28,1.6,0.05,33.0,6
7.0,0.22,0.31,2.7,0.03,41.0,7
7.0,0.21,0.28,8.7,0.045,37.0,6
7.0,0.21,0.28,8.6,0.045,37.0,6
7.0,0.21,0.28,8.6,0.045,37.0,6
6.9,0.23,0.38,8.3,0.047,47.0,7
7.0,0.21,0.28,8.7,0.045,37.0,6
7.0,0.21,0.28,8.6,0.045,37.0,6
6.8,0.29,0.5,13.3,0.053,48.0,5
7.8,0.21,0.27,1.2,0.051,20.0,5
7.1,0.31,0.47,13.6,0.055999999999999994,54.0,5
6.8,0.29,0.5,13.3,0.053,48.0,5
6.4,0.34,0.1,1.1,0.048,19.0,5
7.4,0.155,0.34,2.3,0.045,73.5,7
7.2,0.55,0.1,1.5,0.10800000000000001,16.0,4
7.0,0.23,0.36,7.1,0.027999999999999997,31.0,8
6.9,0.2,0.37,6.2,0.027000000000000003,24.0,7
6.1,0.28,0.32,2.5,0.042,23.0,5
6.6,0.16,0.32,1.4,0.035,49.0,8
7.4,0.155,0.34,2.3,0.045,73.5,7
6.2,0.35,0.1,1.2,0.06,23.0,5
6.7,0.22,0.37,1.6,0.027999999999999997,24.0,7
6.1,0.38,0.2,6.6,0.033,25.0,6
6.0,0.25,0.28,2.2,0.026000000000000002,54.0,8
6.6,0.52,0.44,12.2,0.048,54.0,6
6.9,0.24,0.36,18.8,0.031,40.0,6
7.1,0.32,0.32,11.0,0.038,16.0,4
5.8,0.28,0.27,2.6,0.054000000000000006,30.0,5
6.5,0.41,0.24,14.0,0.048,24.0,6
6.5,0.41,0.24,14.0,0.048,24.0,6
6.4,0.28,0.29,1.6,0.052000000000000005,34.0,7
7.2,0.6,0.2,9.9,0.07,21.0,5
6.1,0.2,0.25,1.2,0.038,34.0,5
5.9,0.46,0.14,2.7,0.042,27.0,7
6.0,0.27,0.27,1.6,0.046,32.0,7
6.4,0.28,0.29,1.6,0.052000000000000005,34.0,7
6.4,0.41,0.24,14.0,0.048,24.0,6
6.3,0.23,0.31,1.5,0.023,11.0,7
7.1,0.21,0.27,8.6,0.055999999999999994,26.0,5
6.0,0.37,0.32,1.0,0.053,31.0,6
6.1,0.43,0.35,9.1,0.059000000000000004,81.0,5
7.1,0.21,0.27,8.6,0.055999999999999994,26.0,5
7.0,0.25,0.29,15.2,0.047,40.0,5
5.9,0.25,0.19,12.4,0.047,50.0,5
6.8,0.32,0.21,2.2,0.044000000000000004,15.0,6
7.2,0.39,0.62,11.0,0.047,66.0,5
6.3,0.21,0.58,10.0,0.081,34.0,5
7.0,0.14,0.32,9.0,0.039,54.0,6
6.8,0.32,0.21,2.2,0.044000000000000004,15.0,6
7.2,0.39,0.62,11.0,0.047,66.0,5
7.2,0.29,0.53,18.15,0.047,59.0,5
8.6,0.37,0.7,12.15,0.039,21.0,6
6.5,0.38,0.34,3.4,0.036000000000000004,34.0,5
6.6,0.24,0.29,2.0,0.023,19.0,6
7.0,0.17,0.31,4.8,0.034,34.0,7
5.5,0.16,0.22,4.5,0.03,30.0,6
7.0,0.24,0.51,11.0,0.028999999999999998,55.0,5
7.4,0.28,0.36,1.1,0.027999999999999997,42.0,7
7.0,0.22,0.28,1.5,0.037000000000000005,29.0,6
7.1,0.55,0.13,1.7,0.073,21.0,6
6.3,0.22,0.33,1.7,0.040999999999999995,67.0,6
6.7,0.47,0.34,8.9,0.043,31.0,5
5.9,0.36,0.41,1.3,0.047,45.0,6
5.8,0.25,0.24,13.3,0.044000000000000004,41.0,5
6.7,0.47,0.34,8.9,0.043,31.0,5
6.2,0.37,0.3,6.6,0.16,79.0,5
6.2,0.18,0.38,1.5,0.027999999999999997,36.0,6
6.0,0.16,0.37,1.5,0.025,43.0,6
6.6,0.34,0.28,1.3,0.035,32.0,6
7.4,0.29,0.29,1.6,0.045,53.0,6
7.4,0.26,0.31,7.6,0.047,52.0,6
7.0,0.28,0.36,1.0,0.035,8.0,6
7.1,0.23,0.39,1.6,0.032,12.0,7
7.8,0.19,0.26,8.9,0.039,42.0,6
6.3,0.19,0.28,1.8,0.023,28.0,6
6.8,0.2,0.38,4.7,0.04,27.0,6
5.7,0.44,0.13,7.0,0.025,28.0,6
7.2,0.4,0.62,10.8,0.040999999999999995,70.0,4
6.8,0.23,0.32,1.6,0.026000000000000002,43.0,6
5.7,0.335,0.34,1.0,0.04,13.0,5
7.2,0.4,0.62,10.8,0.040999999999999995,70.0,4
7.2,0.28,0.54,16.7,0.045,54.0,6
6.8,0.19,0.58,14.2,0.038,51.0,6
6.4,0.3,0.3,2.25,0.038,8.0,6
6.5,0.3,0.29,2.25,0.037000000000000005,8.0,5
7.8,0.18,0.31,12.2,0.053,46.0,6
7.8,0.18,0.31,12.2,0.053,46.0,6
